route_id,source_id,source_type,destination_id,destination_type,distance_km,travel_time_minutes,transport_capacity,traffic_factor,route_status
RT_00162,BB_006,Blood_Bank,HOSP_012,Hospital,61.24,125.7,30,1.3,Active
RT_00163,BB_006,Blood_Bank,HOSP_013,Hospital,69.87,118.0,50,1.07,Active
RT_00164,BB_006,Blood_Bank,HOSP_014,Hospital,42.71,79.6,50,1.18,Active
RT_00165,BB_006,Blood_Bank,HOSP_015,Hospital,34.78,78.0,50,1.42,Active
RT_00166,BB_006,Blood_Bank,HOSP_016,Hospital,70.78,139.7,120,1.25,Active
RT_00167,BB_006,Blood_Bank,HOSP_017,Hospital,88.12,201.7,120,1.45,Active
RT_00168,BB_006,Blood_Bank,HOSP_018,Hospital,123.88,226.9,100,1.16,Active
RT_00169,BB_006,Blood_Bank,HOSP_019,Hospital,59.78,106.7,80,1.13,Active
RT_00170,BB_006,Blood_Bank,HOSP_020,Hospital,69.94,143.6,30,1.3,Active
RT_00171,BB_006,Blood_Bank,HOSP_021,Hospital,58.36,132.7,120,1.44,Active
RT_00172,BB_006,Blood_Bank,HOSP_022,Hospital,69.18,131.1,30,1.2,Active
RT_00173,BB_006,Blood_Bank,HOSP_023,Hospital,88.71,193.3,30,1.38,Active
RT_00174,BB_006,Blood_Bank,HOSP_024,Hospital,73.36,162.2,100,1.4,Active
RT_00175,BB_006,Blood_Bank,HOSP_025,Hospital,99.13,178.4,120,1.14,Active
RT_00176,BB_006,Blood_Bank,HOSP_026,Hospital,82.07,163.3,120,1.26,Active
RT_00177,BB_006,Blood_Bank,HOSP_027,Hospital,59.36,134.0,100,1.43,Active
RT_00178,BB_006,Blood_Bank,HOSP_028,Hospital,79.37,142.9,50,1.14,Disrupted
RT_00179,BB_006,Blood_Bank,HOSP_029,Hospital,87.22,144.6,100,1.05,Congested
RT_00180,BB_006,Blood_Bank,HOSP_030,Hospital,93.46,162.3,80,1.1,Active
RT_00181,BB_007,Blood_Bank,HOSP_001,Hospital,25.17,56.4,80,1.42,Active
RT_00182,BB_007,Blood_Bank,HOSP_002,Hospital,21.65,43.8,50,1.28,Active
RT_00183,BB_007,Blood_Bank,HOSP_003,Hospital,33.03,59.5,120,1.14,Active
RT_00184,BB_007,Blood_Bank,HOSP_004,Hospital,24.83,54.1,100,1.38,Active
RT_00185,BB_007,Blood_Bank,HOSP_005,Hospital,31.27,59.7,100,1.21,Active
RT_00186,BB_007,Blood_Bank,HOSP_006,Hospital,35.61,63.0,30,1.12,Active
RT_00187,BB_007,Blood_Bank,HOSP_007,Hospital,31.27,61.7,100,1.25,Active
RT_00188,BB_007,Blood_Bank,HOSP_008,Hospital,30.56,68.0,100,1.41,Active
RT_00189,BB_007,Blood_Bank,HOSP_009,Hospital,67.99,149.2,30,1.39,Active
RT_00190,BB_007,Blood_Bank,HOSP_010,Hospital,62.44,126.2,120,1.28,Active
RT_00191,BB_007,Blood_Bank,HOSP_011,Hospital,43.13,96.7,100,1.42,Active
RT_00192,BB_007,Blood_Bank,HOSP_012,Hospital,35.3,66.3,100,1.19,Active
RT_00193,BB_007,Blood_Bank,HOSP_013,Hospital,24.2,48.5,30,1.27,Disrupted
RT_00194,BB_007,Blood_Bank,HOSP_014,Hospital,44.22,88.0,50,1.26,Active
RT_00195,BB_007,Blood_Bank,HOSP_015,Hospital,65.6,117.0,100,1.13,Active
RT_00196,BB_007,Blood_Bank,HOSP_016,Hospital,38.65,73.2,100,1.2,Active
RT_00197,BB_007,Blood_Bank,HOSP_017,Hospital,51.92,88.5,50,1.08,Active
RT_00198,BB_007,Blood_Bank,HOSP_018,Hospital,43.57,94.2,80,1.37,Active
RT_00199,BB_007,Blood_Bank,HOSP_019,Hospital,39.0,84.4,30,1.37,Active
RT_00200,BB_007,Blood_Bank,HOSP_020,Hospital,43.0,93.0,100,1.37,Active
RT_00201,BB_007,Blood_Bank,HOSP_021,Hospital,29.19,59.9,100,1.3,Active
RT_00202,BB_007,Blood_Bank,HOSP_022,Hospital,23.96,41.6,50,1.1,Active
RT_00203,BB_007,Blood_Bank,HOSP_023,Hospital,75.47,144.2,120,1.21,Active
RT_00204,BB_007,Blood_Bank,HOSP_024,Hospital,17.12,37.6,120,1.39,Active
RT_00205,BB_007,Blood_Bank,HOSP_025,Hospital,30.17,59.5,100,1.25,Active
RT_00206,BB_007,Blood_Bank,HOSP_026,Hospital,36.89,77.5,120,1.33,Active
RT_00207,BB_007,Blood_Bank,HOSP_027,Hospital,29.77,53.6,120,1.14,Active
RT_00208,BB_007,Blood_Bank,HOSP_028,Hospital,27.08,51.7,30,1.21,Active
RT_00209,BB_007,Blood_Bank,HOSP_029,Hospital,88.06,201.6,120,1.45,Active
RT_00210,BB_007,Blood_Bank,HOSP_030,Hospital,64.95,117.9,120,1.15,Active
RT_00211,BB_008,Blood_Bank,HOSP_001,Hospital,26.72,49.8,120,1.18,Congested
RT_00212,BB_008,Blood_Bank,HOSP_002,Hospital,19.9,38.0,100,1.21,Active
RT_00213,BB_008,Blood_Bank,HOSP_003,Hospital,11.3,21.2,30,1.19,Active
RT_00214,BB_008,Blood_Bank,HOSP_004,Hospital,14.33,23.8,100,1.05,Active
RT_00215,BB_008,Blood_Bank,HOSP_005,Hospital,1.2,2.7,120,1.41,Active
RT_00216,BB_008,Blood_Bank,HOSP_006,Hospital,28.12,58.6,100,1.32,Active
RT_00217,BB_008,Blood_Bank,HOSP_007,Hospital,2.75,6.2,80,1.43,Active
RT_00218,BB_008,Blood_Bank,HOSP_008,Hospital,18.34,32.1,120,1.11,Active
RT_00219,BB_008,Blood_Bank,HOSP_009,Hospital,40.86,89.7,120,1.39,Active
RT_00220,BB_008,Blood_Bank,HOSP_010,Hospital,31.27,60.7,120,1.23,Active
RT_00221,BB_008,Blood_Bank,HOSP_011,Hospital,31.16,60.5,100,1.23,Active
RT_00222,BB_008,Blood_Bank,HOSP_012,Hospital,16.03,28.6,120,1.13,Active
RT_00223,BB_008,Blood_Bank,HOSP_013,Hospital,16.59,29.1,120,1.11,Disrupted
RT_00224,BB_008,Blood_Bank,HOSP_014,Hospital,14.48,28.8,120,1.26,Active
RT_00225,BB_008,Blood_Bank,HOSP_015,Hospital,35.89,77.6,120,1.37,Active
RT_00226,BB_008,Blood_Bank,HOSP_016,Hospital,27.83,54.0,30,1.23,Active
RT_00227,BB_008,Blood_Bank,HOSP_017,Hospital,48.69,81.5,100,1.06,Congested
RT_00228,BB_008,Blood_Bank,HOSP_018,Hospital,68.94,123.0,30,1.13,Active
RT_00229,BB_008,Blood_Bank,HOSP_019,Hospital,27.05,47.8,50,1.12,Active
RT_00230,BB_008,Blood_Bank,HOSP_020,Hospital,30.54,67.0,120,1.39,Active
RT_00231,BB_008,Blood_Bank,HOSP_021,Hospital,2.45,4.3,30,1.11,Active
RT_00232,BB_008,Blood_Bank,HOSP_022,Hospital,15.57,29.5,50,1.2,Active
RT_00233,BB_008,Blood_Bank,HOSP_023,Hospital,64.64,146.0,80,1.43,Active
RT_00234,BB_008,Blood_Bank,HOSP_024,Hospital,17.71,40.0,50,1.43,Active
RT_00235,BB_008,Blood_Bank,HOSP_025,Hospital,46.18,84.6,30,1.16,Active
RT_00236,BB_008,Blood_Bank,HOSP_026,Hospital,35.68,61.4,50,1.09,Active
RT_00237,BB_008,Blood_Bank,HOSP_027,Hospital,5.86,13.2,30,1.43,Active
RT_00238,BB_008,Blood_Bank,HOSP_028,Hospital,28.26,55.8,50,1.25,Active
RT_00239,BB_008,Blood_Bank,HOSP_029,Hospital,73.13,131.6,120,1.14,Active
RT_00240,BB_008,Blood_Bank,HOSP_030,Hospital,59.92,109.7,50,1.16,Active
RT_00241,BB_009,Blood_Bank,HOSP_001,Hospital,18.68,38.3,120,1.3,Congested
RT_00242,BB_009,Blood_Bank,HOSP_002,Hospital,18.2,33.0,50,1.15,Active
RT_00243,BB_009,Blood_Bank,HOSP_003,Hospital,32.12,62.4,100,1.23,Active
RT_00244,BB_009,Blood_Bank,HOSP_004,Hospital,23.3,41.9,120,1.14,Active
RT_00245,BB_009,Blood_Bank,HOSP_005,Hospital,33.62,59.5,120,1.12,Disrupted
RT_00246,BB_009,Blood_Bank,HOSP_006,Hospital,29.58,50.0,100,1.07,Active
RT_00247,BB_009,Blood_Bank,HOSP_007,Hospital,33.05,64.7,30,1.24,Active
RT_00248,BB_009,Blood_Bank,HOSP_008,Hospital,27.21,52.8,120,1.23,Active
RT_00249,BB_009,Blood_Bank,HOSP_009,Hospital,73.39,142.5,50,1.23,Active
RT_00250,BB_009,Blood_Bank,HOSP_010,Hospital,64.87,134.2,30,1.31,Active
RT_00251,BB_009,Blood_Bank,HOSP_011,Hospital,37.37,74.9,100,1.27,Active
RT_00252,BB_009,Blood_Bank,HOSP_012,Hospital,33.05,64.2,120,1.23,Active
RT_00253,BB_009,Blood_Bank,HOSP_013,Hospital,21.81,47.9,80,1.39,Active
RT_00254,BB_009,Blood_Bank,HOSP_014,Hospital,48.04,91.0,120,1.2,Active
RT_00255,BB_009,Blood_Bank,HOSP_015,Hospital,65.1,146.0,50,1.42,Active
RT_00256,BB_009,Blood_Bank,HOSP_016,Hospital,33.13,59.1,80,1.13,Active
RT_00257,BB_009,Blood_Bank,HOSP_017,Hospital,43.36,74.6,80,1.09,Active
RT_00258,BB_009,Blood_Bank,HOSP_018,Hospital,36.03,62.0,80,1.09,Active
RT_00259,BB_009,Blood_Bank,HOSP_019,Hospital,47.22,102.9,30,1.38,Active
RT_00260,BB_009,Blood_Bank,HOSP_020,Hospital,37.4,65.0,30,1.1,Active
RT_00261,BB_009,Blood_Bank,HOSP_021,Hospital,31.51,58.7,80,1.18,Congested
RT_00262,BB_009,Blood_Bank,HOSP_022,Hospital,22.05,42.1,100,1.21,Active
RT_00263,BB_009,Blood_Bank,HOSP_023,Hospital,67.71,135.8,80,1.27,Active
RT_00264,BB_009,Blood_Bank,HOSP_024,Hospital,16.56,31.4,100,1.2,Active
RT_00265,BB_009,Blood_Bank,HOSP_025,Hospital,19.98,33.4,100,1.06,Active
RT_00266,BB_009,Blood_Bank,HOSP_026,Hospital,28.94,59.4,80,1.3,Disrupted
RT_00267,BB_009,Blood_Bank,HOSP_027,Hospital,30.67,53.8,100,1.11,Active
RT_00268,BB_009,Blood_Bank,HOSP_028,Hospital,20.14,40.1,120,1.26,Active
RT_00269,BB_009,Blood_Bank,HOSP_029,Hospital,81.02,140.7,50,1.1,Active
RT_00270,BB_009,Blood_Bank,HOSP_030,Hospital,56.28,126.2,30,1.42,Active
RT_00271,BB_010,Blood_Bank,HOSP_001,Hospital,4.3,8.8,100,1.29,Active
RT_00272,BB_010,Blood_Bank,HOSP_002,Hospital,5.35,10.0,30,1.18,Active
RT_00273,BB_010,Blood_Bank,HOSP_003,Hospital,19.36,42.8,50,1.4,Active
RT_00274,BB_010,Blood_Bank,HOSP_004,Hospital,11.29,25.5,30,1.43,Active
RT_00275,BB_010,Blood_Bank,HOSP_005,Hospital,24.64,56.4,120,1.45,Active
RT_00276,BB_010,Blood_Bank,HOSP_006,Hospital,14.81,28.3,50,1.21,Active
RT_00277,BB_010,Blood_Bank,HOSP_007,Hospital,23.38,38.8,50,1.05,Active
RT_00278,BB_010,Blood_Bank,HOSP_008,Hospital,12.72,23.7,120,1.18,Active
RT_00279,BB_010,Blood_Bank,HOSP_009,Hospital,66.06,150.2,50,1.44,Active
RT_00280,BB_010,Blood_Bank,HOSP_010,Hospital,53.89,98.7,100,1.16,Active
RT_00281,BB_010,Blood_Bank,HOSP_011,Hospital,22.51,38.0,80,1.07,Active
RT_00282,BB_010,Blood_Bank,HOSP_012,Hospital,18.99,42.6,80,1.42,Active
RT_00283,BB_010,Blood_Bank,HOSP_013,Hospital,9.1,20.1,30,1.4,Active
RT_00284,BB_010,Blood_Bank,HOSP_014,Hospital,39.57,71.2,30,1.14,Congested
RT_00285,BB_010,Blood_Bank,HOSP_015,Hospital,51.4,113.6,120,1.4,Active
RT_00286,BB_010,Blood_Bank,HOSP_016,Hospital,18.16,34.7,100,1.21,Active
RT_00287,BB_010,Blood_Bank,HOSP_017,Hospital,31.86,53.8,30,1.07,Active
RT_00288,BB_010,Blood_Bank,HOSP_018,Hospital,44.98,96.6,100,1.36,Active
