event_id,timestamp,location_id,event_type,severity,affected_hospitals,estimated_patients,blood_demand_multiplier,duration_hours
EVT_0042,2024-04-12 02:15:00,SECTOR_04,mass_casualty,Minor,"HOSP_011,HOSP_026,HOSP_024",7,1.22,6
EVT_0043,2024-04-14 00:45:00,SECTOR_04,road_accident,Minor,"HOSP_030,HOSP_018",9,1.2,6
EVT_0044,2024-04-18 14:45:00,CORRIDOR_EAST,transport_disruption,Severe,"HOSP_018,HOSP_011",69,1.0,18
EVT_0045,2024-04-19 17:30:00,CORRIDOR_SOUTH,transport_disruption,Minor,"HOSP_004,HOSP_002,HOSP_011",8,1.0,5
EVT_0046,2024-04-21 02:30:00,SECTOR_06,road_accident,Moderate,"HOSP_007,HOSP_020,HOSP_027",25,1.63,6
EVT_0047,2024-04-22 08:45:00,SECTOR_14,road_accident,Minor,"HOSP_007,HOSP_029,HOSP_018",6,1.28,2
EVT_0048,2024-04-23 10:30:00,CORRIDOR_WEST,transport_disruption,Moderate,"HOSP_025,HOSP_010",18,1.0,8
EVT_0049,2024-04-23 01:00:00,SECTOR_11,mass_casualty,Minor,"HOSP_007,HOSP_018,HOSP_010",12,1.25,2
EVT_0050,2024-04-26 01:45:00,CORRIDOR_CENTRAL,transport_disruption,Critical,"HOSP_013,HOSP_004",124,1.0,27
EVT_0051,2024-04-28 21:15:00,CORRIDOR_WEST,transport_disruption,Minor,"HOSP_026,HOSP_001,HOSP_009",9,1.0,5
EVT_0052,2024-04-29 18:45:00,METRO_DISTRICT_A,surgery_surge,Moderate,"HOSP_015,HOSP_029,HOSP_003,HOSP_014",12,1.57,18
EVT_0053,2024-04-29 23:00:00,METRO_DISTRICT_A,disease_spike,Severe,"HOSP_026,HOSP_022,HOSP_028,HOSP_013,HOSP_003,HOSP_030",36,1.83,29
EVT_0054,2024-04-30 23:30:00,SECTOR_05,industrial_accident,Severe,"HOSP_011,HOSP_003,HOSP_012",74,2.15,29
EVT_0055,2024-05-04 04:30:00,SECTOR_06,mass_casualty,Minor,"HOSP_030,HOSP_012,HOSP_014",8,1.16,3
EVT_0056,2024-05-11 01:30:00,SECTOR_07,road_accident,Minor,"HOSP_011,HOSP_008",11,1.32,5
EVT_0057,2024-05-14 08:15:00,SECTOR_12,road_accident,Critical,"HOSP_007,HOSP_010",92,2.98,65
EVT_0058,2024-05-27 12:15:00,SECTOR_04,road_accident,Severe,"HOSP_007,HOSP_012",77,2.12,24
EVT_0059,2024-05-27 04:45:00,SECTOR_11,road_accident,Moderate,"HOSP_007,HOSP_025",32,1.52,7
EVT_0060,2024-05-29 01:15:00,SECTOR_06,road_accident,Minor,"HOSP_007,HOSP_028,HOSP_027",6,1.29,2
EVT_0061,2024-05-31 11:15:00,CORRIDOR_CENTRAL,transport_disruption,Minor,"HOSP_005,HOSP_025,HOSP_013",5,1.0,4
EVT_0062,2024-06-02 06:30:00,SECTOR_07,road_accident,Minor,"HOSP_007,HOSP_024",8,1.22,6
EVT_0063,2024-06-06 03:15:00,SECTOR_07,industrial_accident,Minor,"HOSP_011,HOSP_019,HOSP_024",11,1.33,3
EVT_0064,2024-06-07 08:15:00,SECTOR_10,road_accident,Minor,"HOSP_030,HOSP_004,HOSP_022",8,1.28,5
EVT_0065,2024-06-10 12:45:00,SECTOR_05,mass_casualty,Minor,"HOSP_022,HOSP_008",12,1.32,6
EVT_0066,2024-06-13 23:30:00,SECTOR_13,road_accident,Severe,"HOSP_007,HOSP_017,HOSP_011",70,2.27,14
EVT_0067,2024-06-16 02:30:00,METRO_DISTRICT_A,surgery_surge,Minor,"HOSP_014,HOSP_010,HOSP_025",4,1.27,4
EVT_0068,2024-06-17 02:45:00,SECTOR_11,industrial_accident,Critical,"HOSP_011,HOSP_027",178,3.13,39
EVT_0069,2024-06-18 07:30:00,SECTOR_09,mass_casualty,Minor,"HOSP_011,HOSP_021,HOSP_001",3,1.27,5
EVT_0070,2024-06-23 00:00:00,METRO_DISTRICT_C,surgery_surge,Minor,"HOSP_016,HOSP_002,HOSP_022,HOSP_027",11,1.23,6
EVT_0071,2024-06-24 11:15:00,SECTOR_02,road_accident,Critical,"HOSP_007,HOSP_003",125,3.21,42
EVT_0072,2024-06-25 10:30:00,METRO_DISTRICT_D,surgery_surge,Minor,"HOSP_009,HOSP_028,HOSP_001,HOSP_019,HOSP_008,HOSP_023",10,1.18,4
EVT_0073,2024-06-26 03:45:00,METRO_DISTRICT_B,natural_disaster,Minor,"HOSP_004,HOSP_012,HOSP_011,HOSP_024",9,1.34,4
EVT_0074,2024-06-28 23:30:00,CORRIDOR_EAST,transport_disruption,Severe,"HOSP_003,HOSP_014",47,1.0,25
EVT_0075,2024-07-01 07:00:00,SECTOR_13,mass_casualty,Moderate,"HOSP_030,HOSP_004",23,1.62,13
EVT_0076,2024-07-02 13:15:00,SECTOR_14,road_accident,Moderate,"HOSP_030,HOSP_029",35,1.65,7
EVT_0077,2024-07-03 18:15:00,SECTOR_13,industrial_accident,Severe,"HOSP_022,HOSP_007,HOSP_030",79,2.26,21
EVT_0078,2024-07-04 00:45:00,METRO_DISTRICT_B,disease_spike,Minor,"HOSP_003,HOSP_029,HOSP_021,HOSP_025,HOSP_020,HOSP_008",4,1.2,2
EVT_0079,2024-07-06 14:00:00,METRO_DISTRICT_B,surgery_surge,Moderate,"HOSP_022,HOSP_008,HOSP_007",24,1.45,10
EVT_0080,2024-07-09 16:30:00,SECTOR_04,mass_casualty,Minor,"HOSP_030,HOSP_017,HOSP_004",8,1.34,5
EVT_0081,2024-07-10 23:00:00,METRO_DISTRICT_A,disease_spike,Minor,"HOSP_027,HOSP_018,HOSP_003,HOSP_014,HOSP_002",8,1.32,3
EVT_0082,2024-07-13 22:30:00,SECTOR_11,road_accident,Minor,"HOSP_007,HOSP_012",4,1.21,4
EVT_0083,2024-07-13 08:15:00,SECTOR_08,road_accident,Critical,"HOSP_011,HOSP_003,HOSP_030",81,2.94,50
EVT_0084,2024-07-15 00:30:00,SECTOR_04,industrial_accident,Severe,"HOSP_007,HOSP_025,HOSP_010",48,2.07,36
EVT_0085,2024-07-16 15:15:00,SECTOR_01,industrial_accident,Minor,"HOSP_030,HOSP_004",10,1.17,3
EVT_0086,2024-07-18 20:15:00,SECTOR_01,mass_casualty,Moderate,"HOSP_022,HOSP_003,HOSP_012",14,1.53,16
EVT_0087,2024-07-20 00:30:00,SECTOR_02,road_accident,Severe,"HOSP_022,HOSP_025",67,2.23,14
EVT_0088,2024-07-21 02:30:00,SECTOR_04,road_accident,Moderate,"HOSP_022,HOSP_027",34,1.46,13
EVT_0089,2024-07-23 03:30:00,SECTOR_02,road_accident,Minor,"HOSP_007,HOSP_026,HOSP_017",3,1.17,4
EVT_0090,2024-07-23 11:45:00,BB_004,blood_bank_failure,Moderate,"HOSP_027,HOSP_029,HOSP_009",26,1.0,12
EVT_0091,2024-07-25 22:30:00,METRO_DISTRICT_C,natural_disaster,Minor,"HOSP_019,HOSP_022,HOSP_001",8,1.24,5
EVT_0092,2024-07-26 19:30:00,METRO_DISTRICT_B,disease_spike,Critical,"HOSP_004,HOSP_008,HOSP_014,HOSP_018",152,2.43,42
EVT_0093,2024-07-26 15:45:00,METRO_DISTRICT_B,disease_spike,Critical,"HOSP_023,HOSP_004,HOSP_008,HOSP_026",121,2.85,70
EVT_0094,2024-07-27 03:00:00,METRO_DISTRICT_A,disease_spike,Moderate,"HOSP_025,HOSP_022,HOSP_007,HOSP_003",31,1.66,17
EVT_0095,2024-07-27 00:15:00,SECTOR_10,road_accident,Minor,"HOSP_030,HOSP_012,HOSP_017",9,1.26,5
EVT_0096,2024-07-30 00:30:00,METRO_DISTRICT_B,natural_disaster,Severe,"HOSP_019,HOSP_017,HOSP_015,HOSP_029,HOSP_023,HOSP_030",68,1.8,31
EVT_0097,2024-08-01 22:00:00,CORRIDOR_CENTRAL,transport_disruption,Minor,"HOSP_019,HOSP_012",7,1.0,2
EVT_0098,2024-08-03 09:30:00,METRO_DISTRICT_D,disease_spike,Minor,"HOSP_024,HOSP_025,HOSP_027",11,1.27,6
EVT_0099,2024-08-06 14:30:00,SECTOR_05,mass_casualty,Minor,"HOSP_022,HOSP_001",3,1.18,3
EVT_0100,2024-08-08 05:15:00,SECTOR_14,road_accident,Minor,"HOSP_011,HOSP_024",11,1.3,5
EVT_0101,2024-08-09 15:45:00,METRO_DISTRICT_A,disease_spike,Minor,"HOSP_021,HOSP_020,HOSP_015",9,1.27,4
EVT_0102,2024-08-10 07:30:00,CORRIDOR_EAST,transport_disruption,Minor,"HOSP_005,HOSP_012,HOSP_002",6,1.0,4
EVT_0103,2024-08-12 16:00:00,METRO_DISTRICT_B,disease_spike,Minor,"HOSP_022,HOSP_021,HOSP_020",9,1.24,4
EVT_0104,2024-08-14 07:45:00,METRO_DISTRICT_D,surgery_surge,Moderate,"HOSP_008,HOSP_018,HOSP_007,HOSP_024,HOSP_004",15,1.59,18
EVT_0105,2024-08-14 09:00:00,SECTOR_14,industrial_accident,Minor,"HOSP_030,HOSP_002,HOSP_014",6,1.34,5
EVT_0106,2024-08-15 22:00:00,METRO_DISTRICT_B,surgery_surge,Moderate,"HOSP_015,HOSP_018,HOSP_025,HOSP_020,HOSP_001,HOSP_004",29,1.37,16
EVT_0107,2024-08-16 21:15:00,SECTOR_11,road_accident,Minor,"HOSP_011,HOSP_028,HOSP_029",10,1.18,5
EVT_0108,2024-08-19 15:45:00,METRO_DISTRICT_D,disease_spike,Moderate,"HOSP_027,HOSP_002,HOSP_030,HOSP_012",20,1.46,10
EVT_0109,2024-08-21 01:45:00,SECTOR_01,road_accident,Minor,"HOSP_011,HOSP_015,HOSP_017",4,1.17,3
EVT_0110,2024-08-22 21:45:00,METRO_DISTRICT_B,disease_spike,Moderate,"HOSP_017,HOSP_021,HOSP_023,HOSP_011,HOSP_003,HOSP_007",19,1.56,14
EVT_0111,2024-08-23 21:00:00,SECTOR_05,mass_casualty,Minor,"HOSP_007,HOSP_014",10,1.16,5
EVT_0112,2024-08-24 20:45:00,METRO_DISTRICT_C,disease_spike,Severe,"HOSP_029,HOSP_008,HOSP_018,HOSP_019,HOSP_005",73,1.82,31
EVT_0113,2024-08-29 02:15:00,SECTOR_12,mass_casualty,Severe,"HOSP_022,HOSP_011",53,1.99,12
EVT_0114,2024-08-30 12:45:00,SECTOR_07,industrial_accident,Moderate,"HOSP_030,HOSP_015,HOSP_024",21,1.55,7
EVT_0115,2024-09-01 02:30:00,CORRIDOR_EAST,transport_disruption,Severe,"HOSP_022,HOSP_021,HOSP_014",46,1.0,24
EVT_0116,2024-09-03 13:30:00,METRO_DISTRICT_A,surgery_surge,Moderate,"HOSP_011,HOSP_020,HOSP_025,HOSP_008,HOSP_002",17,1.61,7
EVT_0117,2024-09-03 18:00:00,METRO_DISTRICT_B,surgery_surge,Moderate,"HOSP_020,HOSP_014,HOSP_022,HOSP_008,HOSP_001,HOSP_002",26,1.59,7
EVT_0118,2024-09-05 20:15:00,METRO_DISTRICT_B,surgery_surge,Moderate,"HOSP_019,HOSP_002,HOSP_003,HOSP_020,HOSP_016",31,1.49,14
EVT_0119,2024-09-05 19:30:00,METRO_DISTRICT_B,disease_spike,Severe,"HOSP_008,HOSP_013,HOSP_007,HOSP_018,HOSP_020,HOSP_010",77,2.11,25
EVT_0120,2024-09-06 01:15:00,METRO_DISTRICT_A,disease_spike,Moderate,"HOSP_010,HOSP_028,HOSP_027,HOSP_008",27,1.41,17
EVT_0121,2024-09-08 06:00:00,SECTOR_08,road_accident,Severe,"HOSP_030,HOSP_014,HOSP_026",71,1.85,21
EVT_0122,2024-09-09 03:45:00,SECTOR_08,industrial_accident,Moderate,"HOSP_030,HOSP_024",22,1.36,6
EVT_0123,2024-09-10 00:00:00,METRO_DISTRICT_C,surgery_surge,Severe,"HOSP_008,HOSP_015,HOSP_021,HOSP_011",73,2.0,28
EVT_0124,2024-09-12 18:00:00,METRO_DISTRICT_A,disease_spike,Severe,"HOSP_003,HOSP_009,HOSP_005",38,1.84,13
EVT_0125,2024-09-13 03:15:00,SECTOR_09,industrial_accident,Minor,"HOSP_007,HOSP_005,HOSP_011",10,1.21,5
EVT_0126,2024-09-14 07:00:00,CORRIDOR_WEST,transport_disruption,Minor,"HOSP_022,HOSP_016",7,1.0,6
EVT_0127,2024-09-14 17:15:00,METRO_DISTRICT_A,disease_spike,Critical,"HOSP_016,HOSP_005,HOSP_003,HOSP_025,HOSP_011",88,3.13,41
EVT_0128,2024-09-15 14:30:00,METRO_DISTRICT_C,disease_spike,Moderate,"HOSP_002,HOSP_003,HOSP_030,HOSP_004,HOSP_009,HOSP_026",30,1.4,6
EVT_0129,2024-09-16 15:45:00,METRO_DISTRICT_C,disease_spike,Moderate,"HOSP_015,HOSP_001,HOSP_004,HOSP_014,HOSP_003,HOSP_006",35,1.43,17
EVT_0130,2024-09-16 15:30:00,METRO_DISTRICT_B,disease_spike,Minor,"HOSP_008,HOSP_001,HOSP_021,HOSP_018,HOSP_014,HOSP_016",11,1.21,2
EVT_0131,2024-09-19 19:15:00,SECTOR_14,industrial_accident,Moderate,"HOSP_007,HOSP_006,HOSP_019",23,1.49,16
EVT_0132,2024-09-22 21:00:00,METRO_DISTRICT_D,disease_spike,Severe,"HOSP_022,HOSP_020,HOSP_006",53,2.18,34
EVT_0133,2024-09-23 20:30:00,BB_006,blood_bank_failure,Severe,"HOSP_018,HOSP_030,HOSP_028",56,1.0,14
EVT_0134,2024-09-26 04:30:00,METRO_DISTRICT_C,surgery_surge,Severe,"HOSP_023,HOSP_012,HOSP_018",74,1.76,19
EVT_0135,2024-09-28 03:45:00,SECTOR_03,mass_casualty,Minor,"HOSP_011,HOSP_019",12,1.26,5
EVT_0136,2024-10-04 20:45:00,SECTOR_13,industrial_accident,Minor,"HOSP_022,HOSP_026,HOSP_023",8,1.2,4
EVT_0137,2024-10-05 16:30:00,METRO_DISTRICT_D,surgery_surge,Severe,"HOSP_003,HOSP_004,HOSP_021,HOSP_018",70,2.26,19
EVT_0138,2024-10-06 12:45:00,CORRIDOR_SOUTH,transport_disruption,Minor,"HOSP_025,HOSP_003,HOSP_020",11,1.0,6
EVT_0139,2024-10-08 01:45:00,METRO_DISTRICT_D,natural_disaster,Moderate,"HOSP_016,HOSP_008,HOSP_026,HOSP_025,HOSP_029",35,1.5,10
EVT_0140,2024-10-10 01:30:00,SECTOR_01,road_accident,Minor,"HOSP_007,HOSP_006",5,1.26,4
EVT_0141,2024-10-14 08:00:00,SECTOR_10,road_accident,Moderate,"HOSP_007,HOSP_029",20,1.69,11
EVT_0142,2024-10-15 09:15:00,CORRIDOR_EAST,transport_disruption,Moderate,"HOSP_025,HOSP_023,HOSP_016",30,1.0,13
EVT_0143,2024-10-18 08:45:00,SECTOR_08,industrial_accident,Severe,"HOSP_011,HOSP_004,HOSP_030",74,2.06,22
EVT_0144,2024-10-21 09:00:00,SECTOR_11,industrial_accident,Minor,"HOSP_011,HOSP_009,HOSP_021",8,1.24,2
EVT_0145,2024-10-21 08:00:00,SECTOR_10,industrial_accident,Minor,"HOSP_007,HOSP_014,HOSP_028",4,1.28,2
EVT_0146,2024-10-23 19:15:00,SECTOR_11,mass_casualty,Minor,"HOSP_030,HOSP_022",8,1.34,5
EVT_0147,2024-10-23 00:45:00,METRO_DISTRICT_D,surgery_surge,Minor,"HOSP_003,HOSP_022,HOSP_020,HOSP_025",12,1.2,2
EVT_0148,2024-10-29 20:00:00,SECTOR_02,mass_casualty,Minor,"HOSP_007,HOSP_013",3,1.34,5
EVT_0149,2024-11-07 17:15:00,METRO_DISTRICT_B,natural_disaster,Minor,"HOSP_028,HOSP_008,HOSP_010,HOSP_001,HOSP_007,HOSP_019",10,1.27,2
EVT_0150,2024-11-08 18:45:00,CORRIDOR_EAST,transport_disruption,Minor,"HOSP_013,HOSP_011,HOSP_004",5,1.0,6
EVT_0151,2024-11-14 23:45:00,SECTOR_06,industrial_accident,Severe,"HOSP_022,HOSP_013",40,1.81,17
EVT_0152,2024-11-14 21:30:00,SECTOR_06,road_accident,Minor,"HOSP_022,HOSP_006,HOSP_026",5,1.27,3
EVT_0153,2024-11-16 03:00:00,SECTOR_02,mass_casualty,Minor,"HOSP_022,HOSP_020",4,1.3,2
EVT_0154,2024-11-16 14:15:00,CORRIDOR_NORTH,transport_disruption,Moderate,"HOSP_015,HOSP_009,HOSP_005",14,1.0,13
EVT_0155,2024-11-20 05:45:00,SECTOR_10,mass_casualty,Minor,"HOSP_022,HOSP_028,HOSP_025",3,1.31,3
EVT_0156,2024-11-21 01:30:00,BB_006,blood_bank_failure,Moderate,"HOSP_011,HOSP_020",28,1.0,14
EVT_0157,2024-11-27 08:30:00,METRO_DISTRICT_B,surgery_surge,Severe,"HOSP_006,HOSP_007,HOSP_026",38,1.85,27
EVT_0158,2024-11-30 04:30:00,SECTOR_03,mass_casualty,Moderate,"HOSP_007,HOSP_029,HOSP_011",22,1.64,18
EVT_0159,2024-11-30 14:00:00,SECTOR_14,mass_casualty,Severe,"HOSP_030,HOSP_017,HOSP_029",69,2.23,34
EVT_0160,2024-12-03 00:30:00,SECTOR_08,road_accident,Minor,"HOSP_007,HOSP_016",10,1.33,2
EVT_0161,2024-12-03 18:45:00,SECTOR_12,road_accident,Minor,"HOSP_022,HOSP_029",5,1.2,2
EVT_0162,2024-12-07 14:00:00,METRO_DISTRICT_A,disease_spike,Moderate,"HOSP_026,HOSP_018,HOSP_022,HOSP_013,HOSP_020,HOSP_012",15,1.52,18
EVT_0163,2024-12-07 15:30:00,SECTOR_08,mass_casualty,Minor,"HOSP_007,HOSP_016",7,1.18,6
EVT_0164,2024-12-08 12:00:00,METRO_DISTRICT_D,disease_spike,Moderate,"HOSP_018,HOSP_024,HOSP_002,HOSP_003,HOSP_019",28,1.58,17
EVT_0165,2024-12-10 17:00:00,SECTOR_06,industrial_accident,Moderate,"HOSP_030,HOSP_025,HOSP_019",34,1.7,16
EVT_0166,2024-12-13 01:30:00,CORRIDOR_EAST,transport_disruption,Minor,"HOSP_030,HOSP_006",7,1.0,2
EVT_0167,2024-12-17 15:30:00,SECTOR_10,road_accident,Critical,"HOSP_030,HOSP_003,HOSP_005",142,2.68,53
EVT_0168,2024-12-17 08:45:00,SECTOR_04,road_accident,Minor,"HOSP_030,HOSP_027,HOSP_007",5,1.35,6
EVT_0169,2024-12-19 03:45:00,SECTOR_11,road_accident,Severe,"HOSP_007,HOSP_008,HOSP_009",77,1.79,24
EVT_0170,2024-12-20 09:45:00,METRO_DISTRICT_C,natural_disaster,Minor,"HOSP_015,HOSP_008,HOSP_030,HOSP_023,HOSP_020",5,1.17,2
EVT_0171,2024-12-22 08:30:00,CORRIDOR_SOUTH,transport_disruption,Moderate,"HOSP_017,HOSP_004,HOSP_020",19,1.0,17
EVT_0172,2024-12-24 00:30:00,CORRIDOR_EAST,transport_disruption,Minor,"HOSP_003,HOSP_013,HOSP_030",5,1.0,3
EVT_0173,2024-12-25 11:00:00,SECTOR_13,mass_casualty,Critical,"HOSP_007,HOSP_028",200,3.05,68
EVT_0174,2024-12-31 01:00:00,METRO_DISTRICT_B,disease_spike,Severe,"HOSP_015,HOSP_004,HOSP_021",80,1.71,34
EVT_0175,2025-01-04 01:15:00,METRO_DISTRICT_A,surgery_surge,Minor,"HOSP_006,HOSP_007,HOSP_013,HOSP_004,HOSP_010,HOSP_001",7,1.16,4
EVT_0176,2025-01-05 18:00:00,METRO_DISTRICT_B,disease_spike,Severe,"HOSP_024,HOSP_016,HOSP_019",40,2.06,18
EVT_0177,2025-01-06 04:45:00,SECTOR_03,road_accident,Minor,"HOSP_007,HOSP_024",6,1.21,4
EVT_0178,2025-01-09 09:45:00,SECTOR_10,road_accident,Severe,"HOSP_007,HOSP_024,HOSP_015",41,2.12,24
EVT_0179,2025-01-09 21:30:00,SECTOR_10,mass_casualty,Moderate,"HOSP_030,HOSP_014,HOSP_003",18,1.47,16
EVT_0180,2025-01-12 18:15:00,METRO_DISTRICT_C,surgery_surge,Severe,"HOSP_022,HOSP_017,HOSP_011,HOSP_002,HOSP_025",38,1.72,16
EVT_0181,2025-01-12 06:45:00,SECTOR_06,mass_casualty,Minor,"HOSP_022,HOSP_013,HOSP_025",6,1.34,6
EVT_0182,2025-01-15 13:15:00,SECTOR_05,road_accident,Minor,"HOSP_007,HOSP_008,HOSP_004",8,1.31,6
EVT_0183,2025-01-16 03:15:00,METRO_DISTRICT_B,surgery_surge,Minor,"HOSP_020,HOSP_019,HOSP_030",3,1.29,4
EVT_0184,2025-01-20 14:30:00,METRO_DISTRICT_B,surgery_surge,Minor,"HOSP_019,HOSP_008,HOSP_007,HOSP_003",7,1.25,5
EVT_0185,2025-01-20 20:30:00,SECTOR_09,road_accident,Minor,"HOSP_011,HOSP_026",3,1.17,3
EVT_0186,2025-01-21 05:15:00,METRO_DISTRICT_C,natural_disaster,Minor,"HOSP_011,HOSP_019,HOSP_010,HOSP_001,HOSP_013",12,1.3,6
EVT_0187,2025-01-22 03:00:00,CORRIDOR_WEST,transport_disruption,Moderate,"HOSP_006,HOSP_015,HOSP_021",26,1.0,11
EVT_0188,2025-01-26 22:30:00,METRO_DISTRICT_A,disease_spike,Severe,"HOSP_026,HOSP_014,HOSP_003",80,2.27,19
EVT_0189,2025-01-27 19:15:00,METRO_DISTRICT_C,natural_disaster,Critical,"HOSP_028,HOSP_007,HOSP_003,HOSP_006,HOSP_015,HOSP_030",151,2.36,25
EVT_0190,2025-01-29 07:30:00,METRO_DISTRICT_B,disease_spike,Moderate,"HOSP_025,HOSP_012,HOSP_011",16,1.63,15
