date,city,temperature,rainfall,weather,holiday_flag,festival,accident_count,disease_spike_flag,blood_drive_flag,transport_disruption_flag
2024-09-18,Metro Metropolis,27.2,0.0,Cloudy,0,None,15,1,0,0
2024-09-19,Metro Metropolis,26.4,0.0,Sunny,0,None,12,1,1,0
2024-09-20,Metro Metropolis,25.7,0.0,Cloudy,0,None,5,0,0,0
2024-09-21,Metro Metropolis,27.6,84.0,Heavy Rain,1,None,20,0,1,1
2024-09-22,Metro Metropolis,31.1,25.9,Rainy,1,None,20,1,0,0
2024-09-23,Metro Metropolis,30.7,35.2,Rainy,0,None,14,1,0,0
2024-09-24,Metro Metropolis,28.9,70.2,Heavy Rain,0,None,14,0,0,1
2024-09-25,Metro Metropolis,26.0,0.0,Cloudy,0,None,12,0,0,0
2024-09-26,Metro Metropolis,25.6,24.9,Rainy,0,None,15,0,0,0
2024-09-27,Metro Metropolis,29.4,10.3,Rainy,0,None,22,1,0,0
2024-09-28,Metro Metropolis,23.6,14.8,Rainy,1,None,18,0,0,0
2024-09-29,Metro Metropolis,25.7,0.0,Sunny,1,None,12,1,0,0
2024-09-30,Metro Metropolis,31.0,20.1,Rainy,0,None,14,0,0,0
2024-10-01,Metro Metropolis,26.1,0.0,Sunny,0,None,7,0,0,1
2024-10-02,Metro Metropolis,27.0,0.0,Sunny,0,None,12,0,0,0
2024-10-03,Metro Metropolis,26.1,12.1,Rainy,0,None,15,0,0,0
2024-10-04,Metro Metropolis,24.5,0.0,Sunny,0,None,8,0,0,0
2024-10-05,Metro Metropolis,25.5,0.0,Sunny,1,None,13,0,0,0
2024-10-06,Metro Metropolis,21.2,0.0,Foggy,1,None,13,0,0,0
2024-10-07,Metro Metropolis,25.6,0.0,Sunny,0,None,8,0,0,0
2024-10-08,Metro Metropolis,23.6,15.1,Rainy,0,None,17,0,0,0
2024-10-09,Metro Metropolis,24.5,0.0,Sunny,0,None,12,0,0,0
2024-10-10,Metro Metropolis,24.6,27.7,Rainy,0,None,13,0,0,0
2024-10-11,Metro Metropolis,26.7,0.0,Cloudy,0,None,9,0,0,0
2024-10-12,Metro Metropolis,21.5,0.0,Cloudy,1,Autumn Festival,12,0,1,0
2024-10-13,Metro Metropolis,24.8,0.0,Sunny,1,None,13,0,1,1
2024-10-14,Metro Metropolis,28.3,0.0,Cloudy,0,None,9,0,0,0
2024-10-15,Metro Metropolis,27.7,0.0,Sunny,0,None,10,0,0,0
2024-10-16,Metro Metropolis,25.8,25.1,Rainy,0,None,16,0,1,0
2024-10-17,Metro Metropolis,27.6,0.0,Sunny,0,None,7,0,0,0
2024-10-18,Metro Metropolis,25.5,0.0,Sunny,0,None,14,0,0,0
2024-10-19,Metro Metropolis,26.5,0.0,Sunny,1,None,21,0,1,0
2024-10-20,Metro Metropolis,25.3,0.0,Cloudy,1,None,19,0,0,0
2024-10-21,Metro Metropolis,24.4,0.0,Cloudy,0,None,6,0,0,0
2024-10-22,Metro Metropolis,24.6,0.0,Cloudy,0,None,14,0,0,0
2024-10-23,Metro Metropolis,27.1,0.0,Sunny,0,None,9,0,1,0
2024-10-24,Metro Metropolis,23.4,0.0,Foggy,0,None,14,0,0,0
2024-10-25,Metro Metropolis,27.3,21.1,Rainy,0,None,16,0,0,0
2024-10-26,Metro Metropolis,27.8,0.0,Sunny,1,None,17,0,1,1
2024-10-27,Metro Metropolis,23.7,0.0,Cloudy,1,None,13,0,1,0
2024-10-28,Metro Metropolis,27.2,0.0,Sunny,0,None,16,0,0,0
2024-10-29,Metro Metropolis,23.1,0.0,Foggy,0,None,7,0,0,0
2024-10-30,Metro Metropolis,26.1,13.0,Rainy,0,None,15,0,0,0
2024-10-31,Metro Metropolis,26.3,0.0,Cloudy,0,None,11,0,0,0
2024-11-01,Metro Metropolis,22.8,0.0,Cloudy,1,Festival of Lights,10,0,0,0
2024-11-02,Metro Metropolis,27.4,0.0,Cloudy,1,None,8,0,1,0
2024-11-03,Metro Metropolis,26.8,0.0,Cloudy,1,None,14,0,0,0
2024-11-04,Metro Metropolis,28.1,0.0,Sunny,0,None,11,0,0,0
2024-11-05,Metro Metropolis,21.8,0.0,Foggy,0,None,8,0,0,0
2024-11-06,Metro Metropolis,25.6,0.0,Sunny,0,None,8,0,0,0
2024-11-07,Metro Metropolis,26.9,9.0,Rainy,0,None,17,0,0,0
2024-11-08,Metro Metropolis,25.4,0.0,Cloudy,0,None,11,0,0,0
2024-11-09,Metro Metropolis,24.4,0.0,Sunny,1,None,18,0,1,0
2024-11-10,Metro Metropolis,25.8,0.0,Cloudy,1,None,8,0,0,0
2024-11-11,Metro Metropolis,23.5,12.0,Rainy,0,None,18,0,0,0
2024-11-12,Metro Metropolis,26.4,0.0,Sunny,0,None,8,0,0,0
2024-11-13,Metro Metropolis,26.9,9.3,Rainy,0,None,16,0,0,0
2024-11-14,Metro Metropolis,25.8,10.1,Rainy,0,None,20,0,0,0
2024-11-15,Metro Metropolis,26.0,0.0,Sunny,0,None,9,0,1,0
2024-11-16,Metro Metropolis,22.5,0.0,Cloudy,1,None,14,0,0,0
2024-11-17,Metro Metropolis,27.2,0.0,Cloudy,1,None,14,0,0,0
2024-11-18,Metro Metropolis,23.0,0.0,Foggy,0,None,10,0,0,0
2024-11-19,Metro Metropolis,23.5,0.0,Cloudy,0,None,9,0,0,0
2024-11-20,Metro Metropolis,26.1,0.0,Cloudy,0,None,11,0,0,0
2024-11-21,Metro Metropolis,22.5,0.0,Cloudy,0,None,15,0,1,0
2024-11-22,Metro Metropolis,26.4,0.0,Cloudy,0,None,11,0,0,0
2024-11-23,Metro Metropolis,21.7,0.0,Foggy,1,None,11,0,1,0
2024-11-24,Metro Metropolis,25.5,0.0,Sunny,1,None,14,0,0,0
2024-11-25,Metro Metropolis,25.6,0.0,Cloudy,0,None,19,0,0,0
2024-11-26,Metro Metropolis,26.1,0.0,Sunny,0,None,15,0,0,0
2024-11-27,Metro Metropolis,23.1,0.0,Cloudy,0,None,11,0,0,0
2024-11-28,Metro Metropolis,27.4,0.0,Sunny,0,None,9,0,0,0
